Price,Cup,Hero
468.431772,13881,55
702.647658,20555,66
1171.07943,30020,74
5082.106934,43200,85
3430.42218,40000,75
1461.105744,24777,62
1143.47406,20428,53
2668.10614,35138,80
1143.47406,19000,57
3513.238289,49513,84
692.037678,16700,63
1171.07943,17587,52
1053.971487,22006,65
1963.900204,26172,61
1522.403259,27031,65
2166.496945,25670,63
3044.806517,23900,58
5269.857434,42000,83
878.309572,18907,64
2599.983707,32000,78
1199.993381,16200,65
599.990835,12500,56
234.215886,5138,34
380.600815,5084,33
292.769857,6571,29
1411.150713,21484,67
5029.812353,24200,65
257.637475,5050,45
585.539715,11300,57
702.647658,12000,60
1473.217923,26079,71
737.780041,14130,56
4157.331976,35538,79
1756.619145,39925,83
2927.698574,39000,80
203.284277,4600,23
762.31604,18600,54
444.684357,12837,40
698.789703,17000,43
825.842377,18900,39
698.789703,16524,41
381.15802,10267,41
571.73703,14396,59
4098.778004,27000,66
5738.289206,54000,82
2999.989308,42763,85
409.8778,15000,52
29.276986,1,2
1405.295316,29900,70
38.645621,777,12
409.8778,8310,50
819.755601,7866,36
9368.635438,50500,81
702.647658,19247,66
1171.07943,28000,71
597.250509,12,39
1171.07943,30000,64
454.378819,19620,49
316.191446,20163,62
210.794297,13594,41
93.686354,1500,17
234.215886,3000,25
234.215886,1800,26
175.661914,1300,20
1522.403259,26543,74
4098.778004,30600,81
433.299389,12794,49
1288.187373,18446,65
23.421589,1,1
2342.158859,40000,81
7015.264597,63000,85
4215.885947,25865,70
1985.452244,40950,82
2647.269659,41600,83
1058.907864,32650,73
926.544381,30200,71
1058.907864,28000,78
292.769857,3064,29
10539.714868,74300,85
8197.556008,37216,83
11710.794297,37800,84
1288.187373,20000,54
1053.971487,13239,59
4098.778004,38000,82
35132.382892,67000,85
269.348269,8931,29
210.794297,6772,25
526.985743,12700,45
1171.07943,31700,74
2927.698574,28761,77
35.132383,358,9
3806.008147,30546,77
960.285132,30895,74
455.549898,2432,28
216.649695,2522,29
221.334012,3110,31
3279.022403,51000,85
1229.633401,24845,71
2.342159,1,2
140.529532,5549,32
351.323829,6257,37
197.912424,7016,29
608.961303,10600,57
374.745418,3830,40
351.323829,3236,21
620.672098,16923,49
24990.000051,77000,85
24990.000051,77000,84
4799.000356,48170,83
3998.999695,44000,83
389.96945,13580,46
1.171079,27,69
11.710794,1,2
234.215886,1000,11
234.215886,6201,24
9368.635438,35366,75
1171.07943,22351,62
1171.07943,21196,68
234.215886,5211,34
468.431772,9809,46
526.985743,13580,48
468.431772,13512,49
351.323829,3473,35
351.323829,5249,38
1171.07943,21793,76
1932.281059,35500,84
122.96334,713,21
702.647658,13283,53
409.8778,15750,51
1522.403259,40334,65
3103.360489,27600,80
1522.403259,15000,43
234.215886,1302,29
234.215886,1002,22
175.661914,2534,31
234.215886,5819,29
351.323829,1016,19
351.323829,1265,20
234.215886,3893,28
234.215886,3576,31
175.661914,1302,29
175.661914,691,26
175.661914,505,24
175.661914,1005,28
175.661914,1002,22
234.215886,414,24
351.323829,5238,42
409.8778,9687,42
2166.496945,25230,65
890.020367,27800,64
936.863544,24600,66
1112.525458,28850,72
1405.295316,28600,74
819.755601,27680,74
585.539715,6684,44
4098.778004,41136,83
819.755601,26089,76
644.093686,11251,47
4977.087576,41252,81
9368.635438,63625,84
4391.547862,37444,83
4684.317719,44267,84
2342.158859,34635,77
3806.008147,40766,77
3279.022403,40646,74
76120.162933,65193,83
1405.295316,26759,63
1580.95723,30528,74
2225.050916,33913,75
175.661914,3000,30
526.985743,13827,50
1405.295316,34690,76
4215.885947,56600,84
819.755601,24758,68
995.417515,23500,51
18737.270876,43000,81
585.539715,6726,37
1405.295316,21827,63
1053.971487,25467,48
4098.778004,32721,75
1053.971487,31000,77
585.539715,10000,50
526.985743,3000,24
175.661914,1689,22
158.095723,1200,14
399.999745,12260,43
292.769857,4380,38
1821.028513,34951,82
1405.295316,34000,81
4448.930754,51000,84
5269.857434,51000,84
2342.158859,29000,71
1171.07943,20700,55
10539.714868,7,7
23421.588595,38900,84
17566.191446,60090,79
6089.613035,344461,84
409.8778,2433,35
1112.525458,16164,62
351.323829,11750,47
5999.990326,50000,84
4450.101833,36000,76
1.171079,1,1
4098.778004,33000,79
409.8778,8107,39
351.323829,6742,41
761.201629,18117,56
4332.99389,50879,84
1932.281059,39866,78
409.8778,6750,36
4684.317719,45000,83
2342.158859,11025,36
50000.000967,100000,86
4684.317719,30000,78
6675.152749,32127,66
46843.177189,90000,85
23421.588595,70000,86
415.733198,15200,55
813.900204,18400,57
491.85336,15800,45
526.985743,15200,43
1815.173116,27600,72
983.706721,31000,75
175.661914,2000,29
210.794297,1682,20
585.539715,23500,67
1756.619145,33000,73
1405.295316,33000,71
702.647658,20000,63
5269.857434,60000,83
292.769857,6971,36
292.769857,4120,33
209.623218,5563,28
87.830957,1076,18
210.794297,7964,39
3747.454175,30000,79
293.431517,15446,40
316.497098,20200,48
140.529532,1017,13
2927.698574,28000,70
322.046843,14500,50
676.005601,18700,58
960.285132,26500,72
263.492872,725,21
468.431772,13915,50
351.323829,11170,41
761.201629,17740,58
468.431772,11000,48
105.397149,1480,25
1270.526733,26650,67
819.755601,19136,51
117.107943,3817,29
234.215886,10521,36
1405.295316,40592,78
562.118126,23140,62
468.431772,8900,38
199.083503,7100,31
3249.991344,15701,65
549.985743,6100,37
1989.663951,3355,36
199.985234,147,7
219.987271,1,4
234.215886,7800,34
292.769857,6100,37
526.985743,7000,35
5855.397149,1,1
44.501018,50,6
819.755601,19311,63
5855.397149,62000,85
3396.130346,48200,85
15224.032587,77055,84
17566.191446,80471,84
40987.780041,81800,85
70.264766,1416,12
351.323829,7300,37
4098.778004,41000,80
1756.619145,35564,74
1053.971487,28000,66
950.003055,33500,78
1463.849287,20043,59
1791.751527,26055,60
117.107943,2083,25
234.215886,7897,43
7260.692464,61600,85
1346.741344,34000,76
936.863544,28500,54
649.949084,10488,51
117.107943,400,21
234.215886,1300,24
1932.281059,22500,70
1229.633401,24106,51
1463.849287,31836,74
374.745418,9000,47
620.672098,2500,30
199.083503,3374,32
1873.727088,33877,83
3513.238289,40000,77
526.985743,18955,58
117.107943,2159,24
279.887984,1002,13
291.598778,4660,26
175.661914,3660,31
